Release point #, Memory Utilization, # of blocks searched before releasing, Counts made before release, Memory request size of release
Release #0, 0.6434, 0.0, 0, 4029
Release #1, 0.3872, 0.0, 0, 6469
Release #2, 0.4774, 0.0, 0, 5511
Release #3, 0.82, 0.0, 0, 7845
Release #4, 0.9796, 0.0, 0, 7564
Release #5, 0.5866, 0.0, 0, 9564
Release #6, 0.7029, 0.0, 0, 8953
Release #7, 0.6858, 0.0, 0, 9307
Release #8, 0.7619, 0.0, 0, 6805
Release #9, 0.6016, 2.0, 2, 3968
Release #10, 0.618, 0.0, 0, 5197
Release #11, 0.3528, 0.0, 0, 6955
Release #12, 0.7517, 0.0, 0, 7758
Release #13, 0.558, 0.0, 0, 5910
Release #14, 0.2413, 2.0, 2, 6883
Release #15, 0.1215, 0.0, 0, 8937
Release #16, 0.3517, 0.0, 0, 9895
Release #17, 0.6412, 0.0, 0, 8345
Release #18, 0.5277, 0.0, 0, 9255
Release #19, 0.6876, 0.0, 0, 6704
Release #20, 0.5656, 0.0, 0, 7558
Release #21, 0.5763, 0.0, 0, 9496
Release #22, 0.8209, 0.0, 0, 6159
Release #23, 0.869, 0.0, 0, 8834
Release #24, 0.7597, 0.0, 0, 9569
Release #25, 0.5108, 0.0, 0, 7586
Release #26, 0.0636, 2.0, 2, 5774
Release #27, 0.7908, 0.0, 0, 3831
Release #28, 0.8195, 0.0, 0, 6952
Release #29, 0.0036, 2.0, 2, 4513
Release #30, 0.6835, 0.0, 0, 9438
Release #31, 0.5649, 0.0, 0, 6288
Release #32, 0.8818, 0.0, 0, 8756
Release #33, 0.6993, 0.0, 0, 7305
Release #34, 0.5464, 0.0, 0, 9243
Release #35, 0.8789, 0.0, 0, 5992
Release #36, 0.4372, 2.0, 2, 4276
Release #37, 0.8352, 0.0, 0, 8838
Release #38, 0.7819, 0.0, 0, 7916
Release #39, 0.1153, 2.0, 2, 6910
Release #40, 0.9855, 0.0, 0, 7278
Release #41, 0.4805, 0.0, 0, 5280
Release #42, 0.9876, 0.0, 0, 9888
Release #43, 0.8831, 0.0, 0, 3303
Release #44, 0.6654, 0.0, 0, 4557
Release #45, 0.7717, 0.0, 0, 5936
Release #46, 0.7085, 0.0, 0, 4882
Release #47, 0.4481, 0.0, 0, 8891
Release #48, 0.9972, 0.0, 0, 8756
Release #49, 0.3799, 2.0, 2, 5533
Release #50, 0.9922, 0.0, 0, 3548
Release #51, 0.6484, 0.0, 0, 5273
Release #52, 0.7876, 0.0, 0, 9284
Release #53, 0.6802, 0.0, 0, 5838
Release #54, 0.6187, 0.0, 0, 5711
Release #55, 0.8329, 0.0, 0, 6040
Release #56, 0.6475, 0.0, 0, 9530
Release #57, 0.5477, 0.0, 0, 6510
Release #58, 0.9509, 0.0, 0, 4503
Release #59, 0.8525, 0.0, 0, 9285
Release #60, 0.2511, 2.0, 2, 6017
Release #61, 0.8272, 0.0, 0, 2995
Release #62, 0.1577, 2.0, 2, 7207
Release #63, 0.8651, 0.0, 0, 9012
Release #64, 0.7258, 0.0, 0, 6258
Release #65, 0.6858, 0.0, 0, 8424
Release #66, 0.7683, 0.0, 0, 9552
Release #67, 0.2085, 2.0, 2, 4849
Release #68, 0.6704, 0.0, 0, 4102
Release #69, 0.5769, 0.0, 0, 6510
Release #70, 0.6406, 0.0, 0, 3952
Release #71, 0.4363, 0.0, 0, 7584
Release #72, 0.6823, 0.0, 0, 3556
Release #73, 0.876, 0.0, 0, 7181
Release #74, 0.8148, 0.0, 0, 2719
Release #75, 0.9685, 0.0, 0, 7240
Release #76, 0.8943, 0.0, 0, 8814
Release #77, 0.6643, 0.0, 0, 5433
Release #78, 0.0752, 2.0, 2, 8273
Release #79, 0.9397, 0.0, 0, 7987
Release #80, 0.9482, 0.0, 0, 5614
Release #81, 0.2797, 0.0, 0, 8556
Release #82, 0.6066, 0.0, 0, 5772
Release #83, 0.9249, 0.0, 0, 7067
Release #84, 0.3633, 2.0, 2, 4440
Release #85, 0.9956, 0.0, 0, 9553
Release #86, 0.8688, 0.0, 0, 4627
Release #87, 0.1989, 0.0, 0, 9422
Release #88, 0.8771, 0.0, 0, 6792
Release #89, 0.8482, 0.0, 0, 6721
Release #90, 0.6267, 2.0, 2, 9805
Release #91, 0.6976, 0.0, 0, 8434
Release #92, 0.8824, 0.0, 0, 2954
Release #93, 0.685, 0.0, 0, 5163
Release #94, 0.601, 0.0, 0, 9396
Release #95, 0.7386, 0.0, 0, 4904
Release #96, 0.6695, 0.0, 0, 7057
Release #97, 0.4538, 2.0, 2, 6839
Release #98, 0.8084, 0.0, 0, 7993
Release #99, 0.8552, 0.0, 0, 7395
Release #100, 0.8469, 0.0, 0, 5445
Release #101, 0.2764, 2.0, 2, 8249
Release #102, 0.7022, 0.0, 0, 5612
Release #103, 0.8999, 0.0, 0, 6243
Release #104, 0.789, 0.0, 0, 6303
Release #105, 0.8895, 0.0, 0, 9108
Release #106, 0.7994, 0.0, 0, 6135
Release #107, 0.7393, 0.0, 0, 5552
Release #108, 0.8132, 0.0, 0, 3608
Release #109, 0.7228, 0.0, 0, 8345
Release #110, 0.0721, 2.0, 2, 9075
Release #111, 0.4682, 0.0, 0, 7199
Release #112, 0.9292, 0.0, 0, 5499
Release #113, 0.4487, 0.0, 0, 8191
Release #114, 0.4886, 0.0, 0, 5455
Release #115, 0.6356, 0.0, 0, 4024
Release #116, 0.7473, 0.0, 0, 9465
Release #117, 0.6662, 0.0, 0, 4868
Release #118, 0.7095, 0.0, 0, 6593
Release #119, 0.1479, 2.0, 2, 5202
Release #120, 0.7902, 0.0, 0, 5261
Release #121, 0.7091, 0.0, 0, 5307
Release #122, 0.5446, 0.0, 0, 8860
Release #123, 0.9441, 0.0, 0, 5725
Release #124, 0.6044, 2.0, 2, 6075
Release #125, 0.6438, 0.0, 0, 9858
Release #126, 0.8056, 0.0, 0, 8019
Release #127, 0.4177, 2.0, 2, 2670
Release #128, 0.8679, 0.0, 0, 7520
Release #129, 0.7813, 0.0, 0, 8186
Release #130, 0.866, 0.0, 0, 4919
Release #131, 0.7971, 0.0, 0, 5590
Release #132, 0.4381, 0.0, 0, 6004
Release #133, 0.2195, 0.0, 0, 8912
Release #134, 0.7731, 0.0, 0, 4975
Release #135, 0.9396, 0.0, 0, 4114
Release #136, 0.6032, 0.0, 0, 5944
Release #137, 0.0, 0.0, 0, 9996
Release #138, 0.6622, 0.0, 0, 8861
Release #139, 0.822, 0.0, 0, 4939
Release #140, 0.617, 0.0, 0, 6918
Release #141, 0.6945, 0.0, 0, 5966
Release #142, 0.8699, 0.0, 0, 9572
Release #143, 0.168, 2.0, 2, 1973
Release #144, 0.9224, 0.0, 0, 5551
Release #145, 0.672, 0.0, 0, 9412
Release #146, 0.6704, 0.0, 0, 5932
Release #147, 0.7411, 0.0, 0, 7145
Release #148, 0.5827, 0.0, 0, 8174
Release #149, 0.6662, 0.0, 0, 5569
Release #150, 0.673, 0.0, 0, 7065
Release #151, 0.7733, 0.0, 0, 7073
Release #152, 0.9905, 0.0, 0, 8003
Release #153, 0.6416, 0.0, 0, 9812
